phrase,count
account dispute,105
account disputed,197
account disputing,28
account documentation,113
account does,193
account does belong,77
account dollars,21
account don,27
account dont,37
account eligible,23
account email,53
account ending,695
account ending account,37
account ending xx,42
account ensure,25
account entirely,41
account entirety,41
account error,39
account evidence,24
account explanation,43
account fact,37
account failed,74
account failed provide,20
account failure,57
account fair,129
account fair credit,115
account false,21
account fees,31
account file,26
account filed,50
account filing,27
account financial,26
account flagged,50
account followed,21
account following,89
account formally,52
account fraud,95
account fraudulent,157
account fraudulently,24
account freeze,32
account frozen,136
account fully,184
account fully investigated,29
account fully verified,27
account funds,179
account furnished,32
account gave,22
account given,44
account going,30
account good,146
account good faith,23
account good standing,112
account got,58
account hacked,82
account handled,46
account handling,83
account having,27
account held,61
account help,23
account histories,58
account histories evidence,47
account history,561
account history documentation,33
account history including,45
account history proof,64
account history verification,44
account hold,44
account holder,267
account holders,59
account holding,30
account identified,24
account identity,39
account identity theft,24
account im,30
account immediate,41
account immediately,326
account immediately removed,39
account improper,20
account improperly,37
account inaccurate,583
account inaccurate incomplete,24
account inaccurate misleading,26
account inaccurate request,407
account inaccurate unverified,22
account inaccurately,34
account inaccurately reported,25
account included,39
account includes,29
account including,338
account including limited,22
account including original,37
account incorrect,36
account incorrectly,44
account individual,20
account info,33
account information,616
account information account,22
account information suddenly,102
account informed,61
account initially,31
account instead,78
account instructed,33
account internal,27
account investigated,47
account investigated removed,20
account investigation,56
account issue,124
account issued,92
account issues,41
account ive,23
account just,62
account know,33
account knowledge,95
account knowledge consent,20
account lack,35
account late,71
account later,98
account ledger,57
account left,23
account legally,43
account legitimate,129
account legitimate issue,101
account let,24
account letter,25
account level,146
account level documentation,68
account like,33
account linked,78
account listed,224
account listed credit,43
account loan,39
account locked,112
account longer,94
account lvnv,28
account lvnv funding,23
account maintained,27
account major,28
account make,61
account making,36
account management,59
account manager,36
account marked,127
account marked disputed,27
account marked verified,39
account matter,35
account mentioned,59
account mentioned letter,51
account merchant,45
account missing,22
account money,105
account month,56
account monthly,22
account months,55
account multiple,111
account multiple times,39
account navy,23
account navy federal,23
account need,42
account needed,34
account negative,171
account negative balance,48
account negatively,72
account negatively impacting,31
account new,72
account notes,35
account notice,44
account noticed,36
account notified,37
account number,1981
account number account,99
account number associated,44
account number balance,29
account number concern,31
account number date,56
account number detailed,60
account number ending,54
account number falsely,582
account number original,30
account numbers,128
account occurred,35
account online,95
account open,204
account opened,584
account opened account,22
account opened knowledge,30
account opened xx,131
account opening,212
account order,33
account original,94
account original creditor,63
account originally,60
account originated,20
account overdraft,26
account overdrawn,79
account owner,29
account ownership,33
account paid,260
account party,26
account past,123
account pay,84
account payment,154
account payment history,27
account payments,55
account paypal,45
account pending,39
account period,23
account permanently,145
account permanently closed,43
account permanently limited,26
account permission,40
account person,29
account personal,58
account phone,58
account placed,179
account placed collections,31
account placed credit,25
account point,39
account prevent,44
account previously,171
account previously disputed,52
account prior,90
account prior notice,23
account process,21
account promotional,30
account promptly,30
account proof,158
account proof company,105
account proper,236
account proper documentation,116
account proper validation,61
account proper verification,22
account properly,245
account properly validated,46
account properly verified,69
account provide,181
account provide documentation,32
account provide written,23
account provided,115
account providing,121
account providing proper,22
account question,159
account raises,31
account raises concerns,27
account reached,33
account reason,53
account receive,41
account received,188
account receiving,43
account recent,24
account recently,66
account recognize,55
account records,181
account reference,38
account referenced,110
account referenced recent,58
account referred,24
account reflect,68
account reflected,37
account reflects,113
account refund,29
account refused,44
account reinserted,35
account related,67
account remain,62
account remained,96
account remaining,23
account remains,221
account remains credit,40
account removal,49
account remove,57
account removed,382
account removed credit,194
account removed immediately,21
account reopened,30
account repeatedly,37
account report,35
account reported,1544
account reported account,22
account reported accurately,22
account reported collected,23
account reported collection,45
account reported consumer,21
account reported credit,269
account reported delinquent,20
account reported inaccurately,70
account reported late,21
account reported letter,79
account reported open,22
account reporting,214
account reporting credit,37
account representative,44
account request,122
account requested,164
account requested proper,24
account requested validation,37
account requesting,281
account requesting validation,125
account required,73
account resolution,21
account resolve,26
account resolved,43
account response,29
account responsibly,25
account restricted,164
account restriction,71
account restrictions,49
account result,179
account result identity,77
account resulted,50
account resulting,35
account return,23
account returned,50
account review,105
account reviewed,44
account reviewing,41
account right,116
account right provided,101
account risk,34
account routing,35
account said,112
account satisfied,23
account savings,42
account savings account,36
account saw,30
account saying,27
account security,64
account send,44
account sent,191
account sent collections,50
account serviced,37
account servicing,43
account set,47
account settled,50
account shortly,38
account showed,51
account showing,69
account shows,160
account shows balance,23
account simply,20
account simultaneously,27
account sincerely,20
account situation,31
account social,30
account social security,26
account sold,70
account soon,46
account soon possible,30
account specific,30
account specifically,63
account stated,50
account statement,129
account statements,257
account statements showing,21
account stating,34
account status,477
account status balance,20
account stop,31
account subject,33
account submitted,40
account subsequently,48
account successfully,21
account suddenly,29
account summaries,20
account summary,76
account suspended,57
account synchrony,44
account synchrony bank,31
account taken,85
account taken immediately,56
account takeover,182
account temporarily,20
account terms,46
account thank,27
account tied,26
account time,224
account times,29
account today,46
account told,200
account took,47
account total,40
account totaling,60
account transaction,99
account transactions,67
account transfer,90
account transferred,139
account transition,26
account tried,54
account truist,39
account trying,24
account twice,21
account type,119
account unable,69
account unauthorized,95
account unless,26
account update,23
account updated,58
account usaa,27
account use,49
account used,129
account using,123
account valid,66
account validation,22
account ve,27
account verification,86
account verified,299
account verified accurate,51
account verify,53
account violation,50
account want,48
account way,51
account week,24
account weeks,27
account wells,143
account wells fargo,139
account went,62
account wire,22
account written,142
account written confirmation,51
account written instructions,53
account xx,1054
account xx xx,1050
account year,30
account years,96
accounting account,23
accounting alleged,108
accounting alleged balance,43
accounting alleged debt,47
accounting balance,101
accounting charges,38
accounting debt,30
accounting funds,29
accounting loan,42
accounting payments,36
accounting records,32
accounting showing,37
accounting total,58
accounting total owed,58
accounts account,58
accounts accounts,29
accounts appear,31
accounts appearing,40
accounts appearing credit,20
accounts associated,57
accounts bank,50
accounts belong,32
accounts closed,149
accounts collections,74
accounts collections hard,59
accounts contain,20
accounts continue,49
accounts continue reported,30
accounts credit,251
accounts credit report,152
accounts currently,39
accounts deleted,24
accounts despite,34
accounts did,65
accounts dispute,23
accounts disputed,33
accounts ending,23
accounts fail,46
accounts fail investigate,45
accounts failed,54
accounts failed produce,45
accounts following,27
accounts fraudulent,46
accounts good,40
accounts good standing,38
accounts held,22
accounts immediately,24
accounts inaccurate,24
accounts including,83
accounts inquires,23
accounts inquiries,117
accounts inquiries personal,24
accounts ive,41
accounts ive referenced,37
accounts legal,25
accounts legal authority,22
accounts linked,22
accounts listed,79
accounts opened,108
accounts properly,27
accounts provide,31
accounts question,23
accounts remain,48
accounts removed,61
accounts report,436
accounts report believe,413
accounts reported,195
accounts reported consumer,21
accounts reported credit,33
accounts reporting,73
accounts reporting credit,24
accounts requesting,27
accounts research,591
accounts research caine,31
accounts research credence,20
accounts research credit,71
accounts research debt,106
accounts research jeffcapsys,33
accounts research jefferson,53
accounts research midland,48
accounts research portfolio,52
accounts result,24
accounts unauthorized,25
accounts verified,32
accounts violated,24
accounts violated federally,24
accounts violates,25
accounts wells,27
accounts wells fargo,27
accounts xx,50
accounts xx xx,47
accuracy account,139
accuracy alleged,28
accuracy balance,56
accuracy completeness,213
accuracy completeness account,39
accuracy completeness information,55
accuracy conduct,31
accuracy credit,34
accuracy debt,43
accuracy failure,48
accuracy failure conduct,27
accuracy fairness,26
accuracy false,46
accuracy false entries,45
accuracy fcra,40
accuracy information,178
accuracy information reported,65
accuracy integrity,52
accuracy investigation,55
accuracy investigation reported,45
accuracy legal,21
accuracy legality,24
accuracy legitimacy,30
accuracy ownership,31
accuracy reliability,33
accuracy reported,117
accuracy reported balance,23
accuracy reported information,39
accuracy reporting,106
accuracy required,25
accuracy requirement,24
accuracy requirements,25
accuracy validity,97
accuracy validity account,23
accurate account,55
accurate accounting,61
accurate ask,409
accurate ask removed,405
accurate balance,32
accurate belongs,21
accurate best,26
accurate best knowledge,25
accurate complete,333
accurate complete information,92
accurate complete verifiable,70
accurate consistent,49
accurate correct,105
accurate correct person,101
accurate credit,554
accurate credit report,424
accurate credit reporting,101
accurate documentation,40
accurate fair,31
accurate information,245
accurate lawful,63
accurate lawful result,58
accurate legally,71
accurate legally authorized,32
accurate misleading,21
accurate payment,44
accurate payment history,32
accurate properly,28
accurate provide,46
accurate provide competent,39
accurate received,47
accurate received proper,45
accurate records,41
accurate reporting,209
accurate reporting standards,104
accurate result,54
accurate result mistake,51
accurate verifiable,205
accurate verifiable information,75
accurate verifiable reporting,51
accurately reflect,187
accurately reflect payment,30
accurately reflect true,22
accurately reflects,26
accurately report,78
accurately report consumer,57
accurately reported,45
ach debit,44
ach debits,28
ach payment,43
ach payments,25
ach trace,42
ach transactions,26
ach transfer,55
ach withdrawals,24
acknowledge debt,117
acknowledge debt request,20
acknowledge debt valid,85
acknowledge receipt,32
acknowledged account,25
acknowledged error,36
acknowledged fraud,23
acknowledged issue,47
acknowledged receipt,67
acknowledged writing,25
acknowledging receipt,20
act account,29
act additionally,32
act applicable,29
act cfpa,24
act code,662
act code disclosure,520
act code requiring,43
act code says,61
act consumer,43
act consumer reporting,24
act cxx,24
act cxx xx,24
act debt,32
act dispute,21
act ecoa,21
act efta,84
act efta regulation,44
act et,87
act et seq,87
act failure,30
act fair,127
act fair credit,61
act fair debt,65
act fcba,176
act fcba truth,53
act fcra,1434
act fcra account,23
act fcra acknowledge,80
act fcra et,74
act fcra fair,96
act fcra furnishers,22
act fcra including,53
act fcra information,41
act fcra mandates,51
act fcra reporting,21
act fcra requesting,67
act fcra requires,52
act fcra right,35
act fcra specifically,81
act fdcpa,1641
act fdcpa ask,51
act fdcpa debt,20
act fdcpa entitled,409
act fdcpa et,46
act fdcpa fair,244
act fdcpa including,37
act fdcpa provide,32
act fdcpa request,88
act fdcpa requesting,106
act fdcpa right,21
act fdcpa specifically,40
act formally,20
act furnishers,26
act good,34
act good faith,34
act immediately,22
act including,153
act including failure,61
act information,58
act information reported,34
act investigation,27
act investigation consumer,26
act like,25
act particularly,56
act particularly regarding,48
act practice,42
act provide,28
act refusal,101
act refusal pay,101
act regulation,220
act regulation cfr,28
act reported,22
act request,44
act requesting,140
act requesting validation,20
act required,35
act requires,58
act respa,40
act scra,27
act section,43
act specifically,75
act tila,121
act tila creditors,55
act truth,26
act truth lending,24
act usc,25
act violation,29
act xx,22
act xx xx,22
acted good,156
acted good faith,156
acted promptly,27
acting behalf,47
acting good,44
acting good faith,44
action account,31
action caused,23
action consumer,20
action ensure,22
action fcra,55
action fcra fdcpa,47
action including,68
action lawsuit,30
action matter,24
action necessary,39
action notice,63
action protect,29
action regarding,35
action requesting,31
action required,70
action resolve,20
action sincerely,39
action taken,292
action violations,39
action willful,26
action xx,29
action xx xx,29
actions account,20
actions appear,33
actions caused,68
actions caused significant,25
actions constitute,81
actions constitute violations,20
actions immediate,38
actions taken,294
actions violate,51
activate card,27
active account,60
active collection,32
active dispute,124
active fraud,36
active investigation,26
active review,27
active xx,21
active xx xx,21
actively attempting,53
actively disputed,29
actively seeking,20
actively trying,35
actively working,51
activities communication,26
activities including,29
activities provide,54
activities provide proper,43
activities reporting,23
activity account,211
activity associated,40
activity caused,24
activity cease,144
activity cease proper,22
activity communication,86
activity communication regarding,83
activity continued,97
activity continued proper,48
activity credit,59
activity credit reporting,37
activity debt,21
activity despite,53
activity did,31
activity dispute,23
activity failure,24
activity fraudulent,23
activity immediately,45
activity including,84
activity including credit,24
activity occur,23
activity occurred,65
activity pause,101
activity pause allowed,101
activity proper,76
activity proper validation,57
activity provide,37
activity refrain,60
activity refrain reporting,60
activity related,59
activity related account,24
activity reported,31
activity reporting,103
activity reporting related,51
activity requesting,31
activity validation,58
activity validation provided,32
activity wells,21
activity written,47
activity written confirmation,26
activity xx,59
activity xx xx,59
acts practices,148
acts practices udaap,73
actual account,36
actual damages,111
actual documentation,34
actual issue,36
actual notice,23
actual payment,37
actual punitive,21
actual punitive damages,20
actually delivered,24
actually received,33
add ons,34
add products,38
added account,97
added balance,32
added credit,40
added credit report,23
added fees,28
additional business,25
additional charge,46
additional charges,169
additional complaints,33
additional concerns,38
additional context,23
additional costs,27
additional days,51
additional details,29
additional documentation,216
additional documentation required,40
additional documents,39
additional evidence,53
additional fee,23
additional fees,116
additional financial,34
additional funds,62
additional information,341
additional information needed,27
additional information provided,27
additional money,27
additional payment,93
additional payments,58
additional regulatory,46
additional regulatory complaints,25
additional remedies,26
additional supporting,25
additional time,52
additional transactions,22
additional unauthorized,36
additional verification,26
additionally account,184
additionally account reported,52
additionally attempted,22
additionally bank,29
additionally company,31
additionally concerned,28
additionally contacted,27
additionally continued,36
additionally credit,30
additionally debt,34
additionally did,21
additionally dispute,21
additionally fair,52
additionally fair credit,20
additionally fair debt,29
additionally fcra,37
additionally informed,40
additionally previously,24
additionally provided,32
additionally pursuant,31
additionally received,65
additionally reporting,38
additionally request,79
additionally requested,28
additionally requesting,32
additionally xx,39
additionally xx xx,39
address account,66
address actual,42
address address,26
address associated,42
address bank,25
address changed,33
address concerns,53
address contact,110
address contact information,95
address core,76
address core issue,50
address correct,25
address despite,36
address device,53
address did,53
address does,28
address email,47
address file,107
address fl,25
address fraudulent,24
address identity,26
address identity theft,23
address information,34
address issue,134
address issues,29
address listed,76
address lived,28
address matter,25
address original,416
address original creditor,407
address phone,122
address phone number,80
address provided,53
address received,36
address request,21
address resolve,40
address shouldnt,28
address shouldnt confusion,28
address situation,24
address social,23
address social security,21
address specific,36
address telephone,25
address telephone number,25
address told,23
address used,62
address verification,31
address xx,69
address xx xx,68
addressing concerns,23
addressing evidence,27
addressing issue,25
addressing issues,21
adequate documentation,73
adequate explanation,30
adequate notice,47
adequate proof,29
adequate validation,66
adequate verification,44
adequately address,32
adequately addressed,28
adequately addressing,27
adjustment remove,24
administrative error,35
administrative forbearance,91
admitted writing,42
advance notice,56
adverse action,180
adverse action notice,61
adverse credit,76
adverse credit reporting,65
adverse reporting,28
advise steps,22
advised account,28
advised contact,41
advised continued,28
advised failure,31
advised file,27
affect credit,53
affected ability,27
affected credit,43
affecting ability,52
affecting ability obtain,22
affecting credit,115
affecting credit score,27
afforded fair,60
afforded fair debt,58
aforementioned accounts,60
aforementioned accounts collections,52
agencies account,50
agencies accurate,46
agencies additionally,25
agencies appears,50
agencies appears ongoing,46
agencies cease,32
agencies cease collection,25
agencies collection,31
agencies debt,22
agencies ensure,30
agencies failure,38
agencies immediately,48
agencies including,56
agencies investigation,20
agencies lastly,101
agencies lastly prefer,101
agencies mandated,58
agencies mandated law,58
agencies proper,33
agencies provide,45
agencies provide written,20
agencies pursuant,411
agencies pursuant fair,405
agencies reported,22
agencies reporting,25
agencies request,24
agencies requesting,31
agencies required,92
agencies unable,21
agencies written,70
agencies written confirmation,67
agency account,27
agency attempting,27
agency attempting collect,26
agency authorized,26
agency authorized collect,26
agency block,43
agency block information,38
agency called,22
agency continues,36
agency continues report,22
agency debt,24
agency failed,77
agency failed provide,54
agency furnish,79
agency furnish account,59
agency legal,31
agency legal authority,24
agency original,22
agency person,29
agency person knows,28
agency provide,44
agency provided,62
agency provided credible,32
agency regarding,21
agency reported,21
agency xx,22
agency xx xx,22
agent confirmed,24
agent said,49
agent spoke,28
agent stated,41
agent told,57
ago received,44
ago received letter,20
agree didn,57
agree didn sign,57
agreed debt,60
agreed debt proof,36
agreed pay,61
agreed payment,35
agreed refund,35
agreed settlement,25
agreed terms,52
agreement account,119
agreement account history,72
agreement application,116
agreement application signature,101
agreement bearing,249
agreement bearing signature,238
agreement chain,32
agreement company,51
agreement complete,625
agreement complete account,45
agreement complete chain,22
agreement complete payment,517
agreement contract,569
agreement contract bearing,58
agreement contract instrument,401
agreement did,27
agreement documentation,31
agreement does,23
agreement itemized,45
agreement legal,72
agreement legal contract,65
agreement original,111
agreement original creditor,104
agreement payment,51
agreement payment history,34
agreement proof,85
agreement provided,26
agreement showing,36
agreement signed,47
agreement states,23
agreement terms,21
agreement xx,44
agreement xx xx,44
agreements ownership,48
agreements ownership records,45
airline ticket,31
airline tickets,27
aldous associates,38
alert credit,26
alleged account,209
alleged balance,466
alleged balance based,102
alleged balance calculated,101
alleged collection,95
alleged collection charge,79
alleged credit,26
alleged credit card,23
alleged debt,2705
alleged debt account,33
alleged debt additionally,23
alleged debt associated,29
alleged debt claim,45
alleged debt collection,25
alleged debt company,25
alleged debt complete,30
alleged debt continued,60
alleged debt credit,35
alleged debt creditor,46
alleged debt date,33
alleged debt despite,47
alleged debt dispute,20
alleged debt documentation,29
alleged debt entirety,42
alleged debt fair,28
alleged debt including,297
alleged debt original,27
alleged debt originally,35
alleged debt proof,26
alleged debt provide,36
alleged debt provided,26
alleged debt pursuant,39
alleged debt received,22
alleged debt recognize,20
alleged debt referenced,118
alleged debt related,20
alleged debt reported,22
alleged debt request,26
alleged debt requested,31
alleged debt requesting,33
alleged debt required,74
alleged debt specifically,32
alleged debt xx,21
alleged debts,185
alleged debts requesting,60
alleged deficiency,32
alleged deficiency balance,27
alleged delinquency,26
alleged late,21
alleged obligation,108
allegedly owed,46
allegedly sent,23
allow access,33
allow make,20
allowed account,28
allowed federal,104
allowed federal law,102
allowed law,65
allowed unauthorized,24
ally bank,217
ally financial,236
alternative method,41
alternative payment,22
alternative verification,37
america account,83
america bank,30
america checking,20
america closed,25
america credit,75
america credit card,67
america customer,48
america denied,62
america denied claim,33
america did,31
america failed,80
america provide,37
america provided,27
america refused,27
america regarding,73
america sent,22
america told,23
america xx,66
america xx xx,66
american express,964
american express account,45
american express card,31
american express credit,24
american express denied,22
american express failed,30
american express regarding,20
american expresss,29
americas handling,33
amortization schedule,28
amounts paid,22
annual fee,235
annual fees,25
answer phone,26
answer question,24
answer questions,43
answered phone,25
answered questions,25
apartment complex,79
app account,259
app account closed,23
app block,40
app called,26
app card,51
app closed,26
app denied,66
app denied dispute,23
app did,41
app failed,67
app provide,21
app provided,41
app received,23
app refused,26
app regarding,23
app said,27
app sent,24
app support,132
app told,23
app xx,55
app xx xx,54
appeal decision,35
appeal denial,22
appeal denied,45
appeal process,35
appeal xx,29
appeal xx xx,29
appear account,21
appear credit,65
appear credit report,37
appear legitimate,21
appear violate,31
appeared account,41
appeared credit,84
appeared credit report,68
appeared legitimate,31
appeared reported,101
appeared reported credit,101
appearing consumer,102
appearing consumer credit,88
appearing credit,175
appearing credit report,126
appears account,21
appears based,31
appears credit,64
appears credit report,49
appears inaccurate,39
appears incomplete,21
appears inconsistent,67
appears ongoing,49
appears ongoing violations,45
appears relied,23
appears rely,36
appears result,44
appears violate,70
appears violate fair,27
appears violation,32
apple card,209
apple card account,37
applicable consumer,126
applicable consumer protection,118
applicable federal,131
applicable federal consumer,25
applicable federal law,21
applicable federal laws,30
applicable federal state,24
applicable law,63
applicable laws,58
applicable state,41
applicable statute,56
applicable statute limitations,55
application account,21
application approved,26
application bearing,37
application bearing signature,35
application complete,29
application denied,65
application did,27
application payments,40
application process,113
application review,30
application signature,106
application signature contract,101
application submitted,48
application xx,67
application xx xx,63
applied account,228
applied balance,50
applied card,39
applied correctly,21
applied credit,71
applied credit card,41
applied loan,118
applied mortgage,29
applied payment,42
applied principal,104
applied received,27
applied xx,72
applied xx xx,72
apply account,29
apply authorize,29
apply credit,62
apply credit card,29
apply funds,29
apply loan,24
apply payment,34
apply payments,48
appreciate assistance,45
appreciate help,25
appreciate prompt,55
appreciate prompt attention,42
appreciate time,23
appropriate action,90
appropriate action taken,33
appropriate compensation,23
appropriate corrective,51
appropriate corrective action,44
appropriate department,27
appropriate enforcement,20
appropriate enforcement action,20
appropriate regulatory,65
appropriate regulatory agencies,35
appropriate resolution,33
appropriate steps,48
approval letter,34
approved credit,47
approved credit card,23
approved forbearance,45
approved loan,45
approved xx,43
approved xx xx,43
approximately account,69
approximately additional,26
approximately business,28
approximately business days,22
approximately contacted,37
approximately credit,34
approximately days,143
approximately despite,27
approximately did,21
approximately funds,26
approximately hours,59
approximately loan,24
approximately minutes,65
approximately month,106
approximately months,200
approximately months ago,23
approximately pm,42
approximately points,28
approximately received,31
approximately related,24
approximately reported,31
approximately time,34
approximately total,26
approximately transactions,22
approximately unauthorized,25
approximately week,40
approximately weeks,72
approximately xx,225
approximately xx xx,217
approximately year,54
approximately years,138
approximately years ago,28
ask office,52
ask office provide,51
ask pause,51
ask pause collection,51
ask removed,411
asked account,27
asked bank,45
asked company,24
asked did,23
asked documentation,29
asked escalate,26
asked help,24
asked information,37
asked make,27
asked money,21
asked multiple,23
asked multiple times,20
asked needed,26
asked pay,37
asked proof,31
asked provide,101
asked questions,27
asked refund,35
asked representative,33
asked said,29
asked send,55
asked speak,143
asked speak supervisor,67
asked stop,38
asked submit,22
asked supervisor,40
asked time,20
asked times,31
asked verify,41
asking cfpb,51
asking following,102
asking following breakdown,101
asking items,102
asking items want,101
asking pay,24
asserting rights,31
assessed account,22
assessed late,28
assessed xx,28
assessed xx xx,28
assigned case,43
assignment agreement,24
assignment chain,23
assignment complete,20
assignment contract,22
assignment debt,74
assignment documentation,36
assignment original,57
assignment original creditor,45
assignment ownership,47
assignment ownership debt,20
assignment purchase,121
assignment purchase agreement,87
assignment sale,20
assignment showing,26
assignment transfer,44
assist ensuring,37
assist recovering,20
assist resolving,42
assistance application,44
assistance ensure,57
assistance ensuring,55
assistance matter,36
assistance obtaining,29
assistance provided,27
assistance received,27
assistance recovering,29
assistance regarding,49
assistance resolving,150
assistance resolving issue,24
assistance resolving matter,104
assistance reviewing,27
assistance sincerely,29
associated account,460
associated accounts,31
associated address,21
associated alleged,68
associated alleged debt,51
associated bank,28
associated charges,39
associated credit,42
associated fees,64
associated fraudulent,26
associated identity,32
associated loan,42
associated transaction,59
associated transactions,26
associates llc,79
associates regarding,28
assurance account,25
assure maximum,91
assure maximum possible,91
atm deposit,29
atm located,36
atm machine,29
atm withdrawal,48
atm withdrawals,53
attached account,27
attached complaint,41
attached copies,53
attached copies document,22
attached copy,83
attached copy government,28
attached documentation,72
attached documents,37
attached email,32
attached evidence,22
attached file,30
attached letter,100
attached letter addressed,24
attached proof,34
attached screenshot,35
attached screenshots,41
attached supporting,83
attached supporting documentation,66
attached xx,26
attached xx xx,26
attempt collect,286
attempt collect account,22
attempt collect debt,136
attempt collection,38
attempt contact,37
attempt resolve,69
attempt resolve issue,21
attempted access,28
attempted cancel,47
attempted collect,49
attempted contact,182
attempted deposit,36
attempted dispute,33
attempted make,85
attempted make payment,28
attempted multiple,59
attempted multiple times,49
attempted obtain,28
attempted pay,29
attempted reach,23
attempted resolve,390
attempted resolve directly,82
attempted resolve issue,116
attempted resolve matter,84
attempted send,26
attempted transfer,34
attempted use,52
attempted withdraw,54
attempting charge,22
attempting collect,706
attempting collect alleged,51
attempting collect balance,28
attempting collect debt,222
attempting collect report,36
attempting collect unverified,58
attempting make,26
attempting obtain,36
attempting resolve,174
attempting resolve issue,74
attempting resolve matter,29
attempts collect,78
attempts collect debt,28
attempts contact,159
attempts obtain,63
attempts resolve,578
attempts resolve directly,72
attempts resolve issue,239
attempts resolve matter,119
attention issue,23
attention matter,448
attention matter look,74
attention matter sincerely,118
attorney fees,97
attorney general,350
attorney general office,42
attorney general pursue,26
attorney generals,83
attorney generals office,71
attorneys fees,83
auction sale,28
audit account,27
audit trail,36
authentication records,37
authoritative documentation,58
authoritative documentation validation,58
authority collect,797
authority collect account,46
authority collect alleged,88
authority collect cease,42
authority collect debt,140
authority collect despite,80
authority collect report,143
authority report,55
authority report account,24
authorization account,31
authorization collect,36
authorization consent,35
authorization did,63
authorization obtained,68
